gene_id	bp_length	symbol
112703	1339	FAM71E1
112714	1540	TUBA3E
11273	4433	ATXN2L
11274	2035	USP18
112744	1025	IL17F
11275	3363	KLHL2
112752	1929	IFT43
112755	4592	STX1B
11277	3338	TREX1
112770	1851	GLMP
11278	11466	KLF12
11279	9054	KLF8
1128	2823	CHRM1
11280	7719	SCN11A
112802	2265	KRT71
11281	3035	POU6F2
112812	2079	FDX1L
112817	3982	HOGA1
11282	3369	MGAT4B
11283	3342	CYP4F8
11284	2364	PNKP
112840	3666	WDR89
112849	2019	L3HYPDH
11285	2046	B4GALT7
112858	3378	TP53RK
112869	1151	SGF29
112885	3961	PHF21B
1129	5132	CHRM2
112936	3669	VPS26B
112937	4380	GLB1L3
112939	4500	NACC1
112942	1383	CFAP36
112950	2050	MED8
112970	1696	KTI12
113	6264	ADCY7
1130	21769	LYST
113000	2277	RPUSD1
113026	3460	PLCD3
11309	5153	SLCO2B1
113091	459	PTH2
1131	4457	CHRM3
11311	3591	VPS45
113115	1893	MTFR2
11313	1624	LYPLA2
113130	2576	CDCA5
11314	2322	CD300A
113146	18345	AHNAK2
11315	961	PARK7
113157	3525	RPLP0P2
11316	1134	COPE
11317	2509	RBPJL
113174	1531	SAAL1
113177	1747	IZUMO4
113178	3866	SCAMP4
113179	1626	ADAT3
11318	1570	GPR182
113189	2198	CHST14
11319	2336	ECD
1132	1468	CHRM4
11320	9005	MGAT4A
113201	4484	CASC4
11321	2098	GPN1
11322	4408	TMC6
113220	2608	KIF12
113230	1300	LOC113230
113235	6792	SLC46A1
113246	1345	C12orf57
11325	6093	DDX42
113251	6727	LARP4
11326	2192	VSIG4
113263	4793	GLCCI1
113277	2817	TMEM106A
113278	3157	SLC52A3
11328	3754	FKBP9
11329	4159	STK38
1133	3278	CHRM5
11330	899	CTRC
11331	1552	PHB2
11332	2462	ACOT7
11333	2686	PDAP1
11334	1682	TUSC2
11335	2453	CBX3
11336	2762	EXOC3
11337	924	GABARAP
11338	3131	U2AF2
11339	1236	OIP5
1134	2793	CHRNA1
11340	1466	EXOSC8
113402	690	SFT2D1
11341	1876	SCRG1
113419	3414	TEX261
11342	2974	RNF13
11343	5919	MGLL
11344	1625	TWF2
113444	8703	SMIM12
11345	1002	GABARAPL2
113451	6459	AZIN2
113452	993	TMEM54
113457	1632	TUBA3D
11346	8251	SYNPO
1135	4067	CHRNA2
113510	3812	HELQ
113540	1476	CMTM1
1136	3555	CHRNA3
113612	4950	CYP2U1
113622	2178	ADPRHL1
113655	1446	MFSD3
113675	1394	SDSL
113691	1960	TUBA3FP
1137	6861	CHRNA4
113730	2991	KLHDC7B
113746	3084	ODF3
113763	2873	ZBED6CL
113791	3544	PIK3IP1
1138	3623	CHRNA5
113802	2216	HENMT1
113828	2071	FAM83F
113829	2657	SLC35A4
113835	3641	ZNF257
114	4101	ADCY8
1140	3618	CHRNB1
114026	2627	ZIM3
114034	2738	TOE1
114036	1807	LINC00310
114041	2193	B3GALT5-AS1
114043	1045	TSPEAR-AS2
114044	2757	MCM3AP-AS1
114049	3604	WBSCR22
114088	7773	TRIM9
1141	5718	CHRNB2
114112	2919	TXNRD3
114131	710	UCN3
114132	3165	SIGLEC11
114134	9348	SLC2A13
1142	1953	CHRNB3
114294	3797	LACTB
114299	9558	PALM2
1143	3631	CHRNB4
114327	5983	EFHC1
114335	732	CGB1
114336	898	CGB2
1144	2963	CHRND
1145	2460	CHRNE
114548	4684	NLRP3
114569	2818	MAL2
114571	2308	SLC22A9
114599	146	SNORD15B
1146	2615	CHRNG
114609	2485	TIRAP
114614	1474	MIR155HG
114625	5260	ERMAP
114659	3368	LRRC37B
1147	3524	CHUK
114757	2166	CYGB
114769	758	CARD16
114770	2226	PGLYRP2
114771	1173	PGLYRP3
114780	13289	PKD1L2
114781	9451	BTBD9
114783	4972	LMTK3
114784	14849	CSMD2
114785	4153	MBD6
114786	3909	XKR4
114787	4208	GPRIN1
114788	19750	CSMD3
114789	4395	SLC25A25
114790	4594	STK11IP
114792	4278	KLHL32
114793	5816	FMNL2
114794	8361	ELFN2
114795	15467	TMEM132B
114796	3859	PSMG3-AS1
114798	5189	SLITRK1
114799	4623	ESCO1
114800	4410	CCDC85A
114801	5592	TMEM200A
114803	12237	MYSM1
114804	4891	RNF157
114805	6225	GALNT13
114814	1961	GNRHR2
114815	8152	SORCS1
114818	7975	KLHL29
114819	5475	CROCCP3
114822	3715	RHPN1
114824	3439	PNMA5
114825	5771	PWWP2A
114826	5677	SMYD4
114827	8172	FHAD1
114836	4212	SLAMF6
114876	11300	OSBPL1A
114879	4833	OSBPL5
114880	7727	OSBPL6
114881	5408	OSBPL7
114882	7939	OSBPL8
114883	5587	OSBPL9
114884	9089	OSBPL10
114885	4638	OSBPL11
114897	4004	C1QTNF1
114898	2397	C1QTNF2
114899	3951	C1QTNF3
1149	1852	CIDEA
114900	1414	C1QTNF4
114902	3925	C1QTNF5
114904	6856	C1QTNF6
114905	4839	C1QTNF7
114907	6946	FBXO32
114908	3590	TMEM123
114915	1194	EPB41L4A-AS1
114926	1561	SMIM19
114928	4513	GPRASP2
114932	1592	MRFAP1L1
114960	2255	TSGA13
114971	2740	PTPMT1
114984	1027	FLYWCH2
114987	2546	WDR31
114991	12834	ZNF618
115	7727	ADCY9
115004	1802	MB21D1
115019	5159	SLC26A9
115024	1646	NT5C3B
115098	1083	CCDC124
115106	1165	HAUS1
115111	5933	SLC26A7
115123	4276	MARCH3
115196	3795	ZNF554
1152	1458	CKB
115201	2616	ATG4A
115207	6237	KCTD12
115209	2578	OMA1
115265	2634	DDIT4L
115273	1404	RAB42
115286	5464	SLC25A26
115290	2442	FBXO17
115294	4436	PCMTD1
1153	3407	CIRBP
115330	1757	GPR146
115350	3174	FCRL1
115352	4591	FCRL3
115353	1788	LRRC42
115361	6145	GBP4
115362	6820	GBP5
1154	2268	CISH
115416	755	MALSU1
115426	6891	UHRF2
1155	1475	TBCB
115509	3876	ZNF689
115548	5328	FCHO2
115557	3125	ARHGEF25
115560	3382	ZNF501
115572	2374	FAM46B
115584	2713	SLC5A11
115650	937	TNFRSF13C
115701	7639	ALPK2
115703	4647	ARHGAP33
115704	5884	EVI5L
115708	3241	TRMT61A
115727	3218	RASGRP4
115749	2169	C12orf56
115752	4036	DIS3L
115761	3760	ARL11
115795	1077	FANCD2OS
1158	1658	CKM
115811	1369	IQCD
115817	3628	DHRS1
115825	4059	WDFY2
115827	1009	RAB3C
115861	908	NXNL1
1159	3431	CKMT1B
115908	1982	CTHRC1
115939	1204	TSR3
115948	2362	CCDC151
115950	2240	ZNF653
115992	2711	RNF166
116	3377	ADCYAP1
1160	1646	CKMT2
116028	2183	RMI2
116039	2393	OSR2
116064	7683	LRRC58
116068	4346	LYSMD3
116071	2221	BATF2
116085	3342	SLC22A12
116092	1290	DNTTIP1
116093	1454	DIRC1
1161	4530	ERCC8
116113	5949	FOXP4
116115	3954	ZNF526
116123	1362	FMO9P
116135	2407	LRRC3B
116138	2168	KLHDC3
116143	3153	WDR92
116150	4807	NUS1
116151	3033	FAM210B
116154	3872	PHACTR3
116159	3249	CYYR1
116173	1401	CMTM5
116179	2312	TGM7
116211	1059	TM4SF19
116224	3646	FAM122A
116225	1370	ZMYND19
116228	2617	COX20
116236	3355	ABHD15
116238	1197	TLCD1
116254	1567	GINM1
116255	1110	MOGAT1
116285	2221	ACSM1
1163	924	CKS1B
116328	8499	C8orf34
116337	1599	PANX3
116349	1616	EXOC3-AS1
116362	870	RBP7
116369	4808	SLC26A8
116372	3002	LYPD1
116379	2897	IL22RA2
1164	613	CKS2
116412	2033	ZNF837
116437	2473	LINC01257
116441	3925	TM4SF18
116442	3512	RAB39B
116443	10013	GRIN3A
116444	3254	GRIN3B
116447	4501	TOP1MT
116448	2279	OLIG1
116449	2199	CLNK
116461	2075	TSEN15
116496	7871	FAM129A
116512	966	MRGPRD
116519	2450	APOA5
116534	1296	MRGPRE
116535	2283	MRGPRF
116540	655	MRPL53
116541	623	MRPL54
116729	1449	PPP1R27
116828	4890	N4BP2L2-IT2
116832	703	RPL39L
116835	3170	HSPA12B
116840	4367	CNTROB
116841	3797	SNAP47
116842	707	LEAP2
116843	3023	SLC18B1
116844	1780	LRG1
116931	11301	MED12L
116933	2168	CLRN1-AS1
116966	7549	WDR17
116969	1691	ART5
116983	6852	ACAP3
116984	9715	ARAP2
116985	7084	ARAP1
116986	6088	AGAP2
116987	11367	AGAP1
116988	7508	AGAP3
117	6659	ADCYAP1R1
117143	3658	TADA1
117144	2619	CATSPER1
117145	5403	THEM4
117153	2343	MIA2
117154	6647	DACH2
117155	2857	CATSPER2
117156	518	SCGB3A2
117157	2535	SH2D1B
117159	748	DCD
117166	1948	WFIKKN1
117177	10281	RAB3IP
117178	7054	SSX2IP
117194	2035	MRGPRX2
117195	1639	MRGPRX3
117196	1444	MRGPRX4
117245	3113	HRASLS5
117246	3611	FTSJ3
117247	2967	SLC16A10
117248	5349	GALNT15
117283	2823	IP6K3
117285	1137	DEFB118
117286	661	CIB3
117289	4197	TAGAP
1173	2701	AP2M1
1174	1297	AP1S1
1175	890	AP2S1
117531	3520	TMC1
117532	3870	TMC2
117579	564	RLN3
117581	1876	TWIST2
117583	8352	PARD3B
117584	4580	RFFL
1176	1325	AP3S1
117608	2507	ZNF354B
1178	633	CLC
117854	3809	TRIM6
1179	3251	CLCA1
118	10278	ADD1
1180	3230	CLCN1
1181	3609	CLCN2
1182	6760	CLCN3
1183	6788	CLCN4
1184	10766	CLCN5
118421	870	LINC00161
118424	2630	UBE2J2
118425	2174	PCAT4
118426	2085	BORCS5
118427	4500	OLFM3
118429	8352	ANTXR2
118430	489	MUCL1
118432	649	RPL29P2
118433	1873	RPL23AP7
118442	2191	GPR62
118460	1700	EXOSC6
118461	5286	C10orf71
118471	1307	PRAP1
118472	2026	ZNF511
118487	1476	CHCHD1
118490	5766	MSS51
118491	7420	CFAP70
1185	6518	CLCN6
1186	4878	CLCN7
118611	4645	C10orf90
118663	1851	BTBD16
118670	596	FAM24A
118672	1722	PSTK
1187	3384	CLCNKA
118738	3496	ZNF488
118788	5246	PIK3AP1
1188	3158	CLCNKB
118812	2751	MORN4
118813	3196	ZFYVE27
118856	1916	MMP21
118881	975	COMTD1
118924	7030	FRA10AC1
118932	3983	ANKRD22
118980	2623	SFXN2
118987	3837	PDZD8
119	6880	ADD2
119016	2500	AGAP4
119032	2435	BORCS7
1191	3848	CLU
119180	774	LYZL2
1193	2748	CLIC2
119369	1075	NUDT9P1
119385	3742	AGAP11
119391	2070	GSTO2
119392	2924	SFR1
119395	1652	CALHM3
119437	2829	CTAGE7P
119467	1815	CLRN3
1195	3794	CLK1
119504	4394	ANAPC16
119548	2308	PNLIPRP3
119559	1658	SFXN4
119587	4651	CPXM2
119678	978	OR52E2
119679	936	OR52J3
119682	948	OR51L1
119687	939	OR51A7
119692	972	OR51S1
119694	1029	OR51F2
119695	948	OR52R1
1197	1812	CLK2P1
119710	3075	C11orf74
119749	930	OR4C46
119764	912	OR4X2
119765	930	OR4B1
119772	954	OR52M1
119774	1067	OR52K2
1198	5972	CLK3
12	3561	SERPINA3
120	5726	ADD3
1200	3767	TPP1
120071	2565	GYLTL1B
1201	3049	CLN3
120103	6288	SLC36A4
120114	19143	FAT3
120146	1533	TRIM64
120224	2639	TMEM45B
120227	3545	CYP2R1
120237	1149	DBX1
1203	2800	CLN5
120376	2180	COLCA2
120379	2154	PIH1D2
120400	2925	NXPE1
120406	1778	NXPE2
120425	4159	JAML
120526	5389	DNAJC24
120534	1770	ARL14EP
120586	933	OR8I2
1207	1373	CLNS1A
120775	993	OR2D3
120776	927	OR2D2
120787	963	OR52W1
120793	1098	OR56A4
120796	1071	OR56A1
1208	657	CLPS
120863	1945	DEPDC4
120892	12839	LRRK2
1209	3338	CLPTM1
120935	1954	CCDC38
120939	3086	TMEM52B
121006	8293	FAM186A
121053	622	C12orf45
1211	1236	CLTA
121129	930	OR2AP1
121130	942	OR10P1
1212	1767	CLTB
121214	1765	SDR9C7
121227	4310	LRIG3
121256	7075	TMEM132D
121260	2789	SLC15A4
121268	1245	RHEBL1
121273	1088	C12orf54
121274	4684	ZNF641
121275	954	OR10AD1
121278	2378	TPH2
1213	8701	CLTC
121340	3048	SP7
121355	812	GTSF1
121364	951	OR10A7
121391	2788	KRT74
121441	4245	NEDD1
121456	3305	SLC9A7P1
121457	4099	IKBIP
1215	784	CMA1
121504	412	HIST4H4
121506	1536	ERP27
121512	9683	FGD4
121536	5807	AEBP2
121549	2260	ASCL4
121551	7659	BTBD11
121599	1140	SPIC
121642	1197	ALKBH2
121643	3472	FOXN4
121665	4129	SPPL3
121793	709	TEX29
121838	2564	LINC00284
121952	2312	METTL21EP
122011	2405	CSNK1A1L
122042	2803	RXFP2
122046	998	TEX26
122060	3547	SLAIN1
122402	4764	TDRD9
122416	1717	ANKRD9
122481	4328	AK7
122525	3764	C14orf28
122553	3384	TRAPPC6B
122616	1966	C14orf79
122618	1972	PLD4
122622	2079	ADSSL1
122651	2117	RNASE11
122664	797	TPPP2
122665	465	RNASE8
122704	1301	MRPL52
122706	1894	PSMB11
122740	933	OR4K14
122742	939	OR4L1
122748	993	OR11H6
122769	2073	LRR1
122773	2831	KLHDC1
122786	6988	FRMD6
122809	7012	SOCS4
122830	4475	NAA30
122876	543	GPHB5
122945	1978	NOXRED1
122953	4274	JDP2
122961	1088	ISCA2
122970	1632	ACOT4
123	2098	PLIN2
1230	2676	CCR1
123016	2670	TTC8
123041	11140	SLC24A4
123096	2738	SLC25A29
123099	1405	DEGS2
123103	1863	KLHL33
123169	2188	LEO1
1232	3335	CCR3
123207	2656	C15orf40
123228	2295	SENP8
123263	2746	MTFMT
123264	940	SLC51B
123283	3553	TARSL2
1233	1657	CCR4
123346	1117	HIGD2B
123355	2601	LRRC28
1234	3661	CCR5
1235	6077	CCR6
123591	3244	TMEM266
1236	2184	CCR7
123606	6671	NIPA1
123624	4453	AGBL1
123688	2010	HYKK
1237	1487	CCR8
123720	3854	WHAMM
123722	6533	FSD2
123745	5042	PLA2G4E
123775	2226	C16orf46
1238	7479	ACKR2
123872	2656	DNAAF1
123876	4480	ACSM2A
123879	2868	DCUN1D3
123904	633	NRN1L
123920	2595	CMTM3
123970	971	C16orf78
124	2074	ADH1A
1240	5614	CMKLR1
124044	2339	SPATA2L
124045	4938	SPATA33
124056	1636	NOXO1
124093	3741	CCDC78
1241	4620	LTB4R
124149	6249	ANKRD26P1
124152	2552	IQCK
124220	828	ZG16B
124221	771	PRSS30P
124222	2906	PAQR4
124245	4371	ZC3H18
124274	1337	GPR139
124359	2235	CDYL2
1244	5051	ABCC2
124401	6315	ANKS3
124402	1413	UBALD1
124404	1669	SEPT12
124411	8360	ZNF720
124446	1231	TMEM219
124454	4265	EARS2
124460	4404	SNX20
124491	5020	TMEM170A
124512	1316	METTL23
124535	4107	HSF5
124538	924	OR4D2
124540	8326	MSI2
124565	5964	SLC38A10
124583	3674	CANT1
124590	3565	USH1G
124599	2720	CD300LB
124602	4057	KIF19
124626	2257	ZPBP2
124637	3746	CYB5D1
124641	1076	OVCA2
124739	4350	USP43
124751	1964	KRBA2
124773	960	C17orf64
124783	1925	SPATA32
124790	1467	HEXIM2
124801	2493	LSM12
124808	2138	CCDC43
124817	3277	CNTD1
124842	4369	TMEM132E
124857	4137	WFIKKN2
124871	2546	FLJ40194
124872	2110	B4GALNT2
124912	996	SPACA3
124923	6005	SGK494
124925	4312	SEZ6
124930	3361	ANKRD13B
124936	2002	CYB5D2
124961	4995	ZFP3
124975	2838	GGT6
124976	4487	SPNS2
124989	5102	EFCAB13
124995	1996	MRPL10
125	4720	ADH1B
125050	332	RN7SK
125058	11303	TBC1D16
125061	3434	AFMID
125111	4041	GJD3
125113	2658	KRT222
125144	2514	LRRC75A-AS1
125150	2020	ZSWIM7
125170	2645	MIEF2
125206	2434	SLC5A10
125228	4512	FAM210A
125336	8497	LOXHD1
125476	2932	INO80C
125488	5945	TTC39C
125704	2042	FAM69C
1258	6338	CNGB1
125875	974	CLDND2
125893	2757	ZNF816
1259	3132	CNGA1
125919	3671	ZNF543
125931	1809	CEACAM20
125950	3681	RAVER1
125958	1022	OR7D4
125962	936	OR7G1
125963	942	OR1M1
125965	2766	COX6B2
125972	1292	CALR3
125981	1088	ACER1
125988	900	C19orf70
125997	774	MBD3L2
126	1473	ADH1C
1260	3285	CNGA2
126003	850	TRAPPC5
126006	836	PCP2
126017	4188	ZNF813
126068	4512	ZNF441
126069	2823	ZNF491
126070	4181	ZNF440
126074	1662	SWSAP1
126075	2345	CCDC159
1261	4102	CNGA3
126119	1041	JOSD2
126123	814	IZUMO2
126129	4842	CPT1C
126133	3106	ALDH16A1
126147	3033	NTN5
1262	4290	CNGA4
126204	3157	NLRP13
126205	3934	NLRP8
126206	3883	NLRP5
126208	3414	ZNF787
126231	2947	ZNF573
126248	1722	WDR88
126259	1266	TMIGD2
126272	1865	EID2B
126282	3960	TNFAIP8L1
126295	2055	ZNF57
126298	9803	IRGQ
126299	1395	ZNF428
1263	2358	PLK3
126306	1145	JSRP1
126308	3371	MOB3A
126321	2135	MFSD12
126326	4317	GIPC3
126328	2938	NDUFA11
126353	2851	MISP
126364	2409	LRRC25
126370	1068	OR1I1
126374	2204	WTIP
126375	3888	ZNF792
126382	1299	NR2C2AP
126393	1460	HSPB6
1264	1861	CNN1
126402	1751	CCDC105
126410	2609	CYP4F22
126432	3140	RINL
126433	2324	FBXO27
1265	2647	CNN2
126520	2279	PLK5
126526	2365	C19orf47
126536	4192	LINC00661
126541	951	OR10H4
126549	3320	ANKLE1
126567	3124	C2CD4C
1266	2288	CNN3
126626	2001	GABPB2
126637	3603	TCHHL1
126638	3569	RPTN
126661	2349	CCDC163P
126668	2529	TDRD10
126669	6183	SHE
126695	1803	KDF1
1267	5222	CNP
126731	5673	CCSAP
126755	1908	LRRC38
126767	4049	AADACL3
126789	2135	PUSL1
126792	2792	B3GALT6
1268	6022	CNR1
126820	3019	WDR63
126823	1368	KLHDC9
126859	5851	AXDND1
126868	3229	MAB21L3
1269	1989	CNR2
126917	5835	IFFO2
126969	2947	SLC44A3
127	2127	ADH4
1270	1893	CNTF
127002	3211	ATXN7L2
127003	880	C1orf194
127018	1936	LYPLAL1
127059	939	OR2M5
127062	939	OR2M3
127064	963	OR2T12
127066	939	OR14C36
127068	957	OR2T34
127069	939	OR2T10
127077	951	OR2T11
1271	2111	CNTFR
1272	7308	CNTN1
127247	1107	ASB17
127253	3549	TYW3
127254	7653	ERICH3
127255	5225	LRRIQ3
127262	2427	TPRG1L
127294	9505	MYOM3
127343	2884	DMBX1
127385	930	OR10J5
127391	741	TMCO2
127396	2097	ZNF684
127428	5565	TCEANC2
127435	3417	PODN
127495	1946	LRRC39
127534	2840	GJB4
127540	2343	HMGB4
127544	2606	RNF19B
127550	1023	A3GALT2
127579	2487	DCST2
127602	17068	DNAH14
127623	954	OR2B11
127665	3649	ZNF648
127670	2500	TEDDM1
127687	2231	C1orf122
1277	5927	COL1A1
127700	1695	OSCP1
127703	2934	C1orf216
127707	5057	KLHDC7A
127731	6090	VWA5B1
127733	2972	UBXN10
127795	3381	C1orf87
1278	5411	COL1A2
127829	1795	ARL8A
127833	7788	SYT2
127841	1290	LINC00628
127845	1581	GOLT1A
127933	8658	UHMK1
127943	2639	FCRLB
128	3718	ADH5
1280	5303	COL2A1
128025	4370	WDR64
128061	4858	C1orf131
128077	3992	LIX1L
1281	5490	COL3A1
128102	8697	HSD3BP4
128153	1570	SPATA17
128178	3017	EDARADD
1282	6532	COL4A1
128209	3839	KLF17
128218	1881	TMEM125
128229	814	TSACC
128239	6052	IQGAP3
128240	1379	NAXE
128272	3029	ARHGEF19
128308	906	MRPL55
128312	452	HIST3H2BB
128338	2097	DRAM2
128344	2346	PIFO
128346	917	C1orf162
128360	945	OR10T2
128366	954	OR6P1
128367	981	OR10X1
128368	942	OR10Z1
128371	1032	OR6K6
128372	939	OR6N1
128387	2694	TATDN3
1284	6263	COL4A2
128408	1057	BHLHE23
128414	2606	NKAIN4
128434	1961	VSTM2L
128439	2652	SNHG11
128486	958	FITM2
128488	774	WFDC12
128497	719	SPATA25
1285	8097	COL4A3
128506	1958	OCSTAMP
128553	12581	TSHZ2
1286	10332	COL4A4
128602	757	C20orf85
128611	9403	ZNF831
128637	4623	TBC1D20
128646	812	SIRPD
128653	751	C20orf141
128674	1438	PROKR2
1287	8118	COL4A5
128710	1407	SLX4IP
1288	8906	COL4A6
128817	859	CSTL1
128821	958	CST9L
128822	1689	CST9
128826	1220	MIR1-1HG
128853	2961	DUSP15
128854	1215	TSPY26P
128859	1676	BPIFB6
128861	1181	BPIFA3
128864	570	C20orf144
128866	1647	CHMP4B
128869	2080	PIGU
128872	888	HMGB3P1
128876	3239	FAM83C
1289	8508	COL5A1
128954	3747	GAB4
128977	2785	C22orf39
128989	6346	TANGO2
1290	6930	COL5A2
129049	7677	SGSM1
129080	2203	EMID1
1291	4281	COL6A1
129138	2099	ANKRD54
1292	4342	COL6A2
129285	3432	PPP1R21
129293	4712	TRABD2A
1293	13689	COL6A3
129303	2423	TMEM150A
1294	9169	COL7A1
129401	2006	NUP35
129446	13131	XIRP2
129450	11535	TYW5
1295	3850	COL8A1
129521	485	NMS
129530	1106	LYG1
129531	910	MITD1
129563	5792	DIS3L2
1296	4447	COL8A2
129607	4262	CMPK2
129642	3856	MBOAT2
129684	5377	CNTNAP5
129685	5685	TAF8
1297	4131	COL9A1
129787	2525	TMEM18
129790	2289	C7orf13
1298	3251	COL9A2
129804	2299	FBLN7
129831	1784	RBM45
129852	1921	C2orf73
129868	1625	TRIM43
129880	3157	BBS5
129881	4667	CCDC173
1299	2544	COL9A3
13	1606	AADAC
130	3006	ADH6
1300	3290	COL10A1
130013	2377	ACMSD
130026	9271	ICA1L
130074	5406	FAM168B
130075	945	OR9A4
1301	7460	COL11A1
130106	745	CIB4
130120	955	REG3G
130132	3113	RFTN2
130162	5418	CLHC1
130271	8921	PLEKHH2
1303	11590	COL12A1
130340	4077	AP1S3
130355	1164	C2orf76
130367	1343	SGPP2
130399	9077	ACVR1C
130497	1894	OSR1
1305	3137	COL13A1
130502	819	TTC32
130507	8857	UBR3
130535	4820	KCTD18
130540	2192	ALS2CR12
130557	2354	ZNF513
130560	1821	SPATA3
130574	5041	LYPD6
130576	1709	LYPD6B
130589	2483	GALM
1306	5422	COL15A1
130612	2568	TMEM198
130617	2132	ZFAND2B
1307	5984	COL16A1
130733	1829	TMEM178A
130749	1209	CPO
130752	3027	MDH1B
1308	6491	COL17A1
130813	2938	C2orf50
130814	1956	PQLC3
130827	3849	TMEM182
130872	3033	AHSA2
130888	3319	FBXO36
130916	2995	MTERF4
130940	3228	CCDC148
130951	2795	M1AP
131	2397	ADH7
1310	8753	COL19A1
131034	5830	CPNE4
131076	718	CCDC58
131096	6079	KCNH8
1311	2707	COMP
131118	1640	DNAJC19
131149	1434	OTOL1
131177	1308	FAM3D
1312	3122	COMT
131368	4607	ZPLD1
131375	872	LYZL4
131377	2419	KLHL40
1314	5666	COPA
131405	3138	TRIM71
131408	6247	FAM131A
131450	2397	CD200R1
131474	1604	CHCHD4
1315	3527	COPB1
131540	2255	ZDHHC19
131544	10752	CRYBG3
131566	6273	DCBLD2
131578	5940	LRRC15
131583	3145	FAM43A
1316	5976	KLF6
131601	2220	TPRA1
131616	971	TMEM42
131669	3445	UROC1
1317	5480	SLC31A1
1318	2311	SLC31A2
131831	2053	ERICH6
131870	6777	NUDT16
131873	8546	COL6A6
131890	1746	GRK7
131909	2295	FAM172BP
131920	1447	TMEM207
131965	3126	METTL6
132	2439	ADK
132014	4014	IL17RE
132112	2217	RTP1
132141	3873	IQCF1
132158	3798	GLYCTK
132160	2872	PPM1M
132200	1289	C3orf49
132203	1584	SNTN
132204	3020	SYNPR
132228	1434	LSMEM2
132241	5239	RPL32P3
132243	1158	H1FOO
132299	825	OCIAD2
132320	7780	SCLT1
132321	2238	C4orf33
132332	2316	TMEM155
132430	4943	PABPC4L
1325	1231	CORT
1326	3107	MAP3K8
132612	2255	ADAD1
132625	2646	ZFP42
132660	6281	LIN54
132671	4388	SPATA18
1327	2325	COX4I1
132720	2726	C4orf32
132724	2645	TMPRSS11B
132789	6883	GNPDA2
132851	1251	SPATA4
132864	6887	CPEB2
132884	5224	EVC2
1329	505	COX5B
132946	836	ARL9
132949	5929	AASDH
132954	861	PDCL2
132989	908	C4orf36
133	1449	ADM
133015	3240	PACRGL
133022	2027	TRAM1L1
133060	1869	OTOP1
133121	3936	ENPP6
133308	3958	SLC9B2
133383	1922	SETD9
133396	4404	IL31RA
133418	5162	EMB
133482	2689	SLCO6A1
133491	2755	C5orf47
133522	12385	PPARGC1B
133558	5344	MROH2B
133584	5775	EGFLAM
133619	8483	PRRC1
133686	4333	NADK2
133688	6406	UGT3A1
133690	1098	CAPSL
1337	572	COX6A1
133746	9136	JMY
133874	1432	C5orf58
1339	440	COX6A2
133923	1957	ZNF474
133957	1420	CCDC127
134	3271	ADORA1
1340	590	COX6B1
134083	936	OR2Y1
134111	6129	UBE2QL1
134121	2384	C5orf49
134145	2966	FAM173B
134147	4047	CMBL
134187	1295	POU5F2
134218	8547	DNAJC21
134265	4564	AFAP1L1
134266	4105	GRPEL2
134285	1266	TMEM171
134288	1779	TMEM174
134353	2561	LSM11
134359	2241	POC5
134391	1260	GPR151
134429	3096	STARD4
134430	6592	WDR36
134466	2525	ZNF300P1
134492	948	NUDCD2
1345	921	COX6C
134510	2392	UBLCP1
134526	2039	ACOT12
134548	3457	SOWAHA
134549	4113	SHROOM1
134553	5141	C5orf24
1346	762	COX7A1
134637	7493	ADAT2
1347	754	COX7A2
134701	817	RIPPLY2
134728	5445	IRAK1BP1
134829	11477	CLVS2
134860	1049	TAAR9
134864	1020	TAAR1
1349	456	COX7B
134957	10854	STXBP5
135	3408	ADORA2A
1350	407	COX7C
1351	507	COX8A
135112	10587	NCOA7
135114	3379	HINT3
135138	1810	PACRG
135152	4012	B3GAT2
135154	525	SDHAF4
1352	3002	COX10
135228	9453	CD109
135250	2554	RAET1E
135293	4714	PM20D2
135295	3599	SRSF12
1353	3107	COX11
135398	1696	C6orf141
135458	1026	HUS1B
1355	7689	COX15
1356	6227	CP
1357	1725	CPA1
1358	1623	CPA2
135886	977	WBSCR28
135892	2161	TRIM50
1359	1684	CPA3
135932	2522	TMEM139
135935	2076	NOBOX
135941	933	OR2A14
135946	936	OR6B1
135948	954	OR2F2
136	1885	ADORA2B
1360	1460	CPB1
136051	3591	ZNF786
1361	1766	CPB2
1362	9208	CPD
136227	3033	COL26A1
136242	2209	PRSS37
136259	1480	KLF14
136263	1156	SSMEM1
136288	2134	C7orf57
1363	2428	CPE
136306	1819	SVOPL
136332	2700	LRGUK
136371	2315	ASB10
1364	1831	CLDN4
1365	1274	CLDN3
1366	2044	CLDN7
136647	941	MPLKIP
1368	6726	CPM
136853	2824	SSC4D
136895	3609	C7orf31
1369	1756	CPN1
136991	1865	ASZ1
1370	3028	CPN2
137075	1952	CLDN23
1371	2822	CPOX
137209	3275	ZNF572
1373	6165	CPS1
137362	1378	GOT1L1
137392	3249	FAM92A1
1374	5485	CPT1A
137492	4585	VPS37A
1375	3157	CPT1B
1376	3094	CPT2
137682	3096	NDUFAF6
137695	4478	TMEM68
137735	2754	ABRA
137797	534	LYPD2
1378	11897	CR1
137814	906	NKX2-6
137835	2138	TMEM71
137868	2178	SGCZ
137872	2244	ADHFE1
137886	5068	UBXN2B
1379	2149	CR1L
137902	4807	PXDNL
137964	6310	GPAT4
137970	9062	UNC5D
137994	4561	LETM2
1380	4170	CR2
138009	3326	DCAF4L2
